date,Lagged_Return_1d,High_Low_Range,Range_Change,Volatility_5d,Volatility_20d,Volume,Volume_Change,Volume_MA5,Volume_MA20,Low,High
8/26/2022,0.010876427,0.347835325,0.197420154,0.109954892,0.061381466,452300,0.160636387,242980,215750,14.38346535,14.73130068
8/29/2022,-0.008227804,0.112811388,-0.235023936,0.098508347,0.060032949,359700,-0.204731373,299640,208570,14.3082583,14.42106968
8/30/2022,-0.021059308,0.122212553,0.009401165,0.101032939,0.059945715,89600,-0.750903531,273000,205700,14.22364861,14.34586116
8/31/2022,-0.005215183,0.10341021,-0.018802343,0.102423003,0.059386402,259000,1.890625,310060,209485,14.35526258,14.45867279
9/1/2022,0.007863706,0.103410215,4.93E-09,0.106442792,0.05925898,101800,-0.606949807,252480,199345,14.2330507,14.33646092
9/2/2022,-0.008452496,0.131613726,0.028203511,0.012257627,0.058896809,41900,-0.588408644,170400,194455,14.2612524,14.39286613
9/6/2022,0.003934389,0.131612832,-8.94E-07,0.014257376,0.058468783,401700,8.587112172,178800,191395,14.12023869,14.25185153
9/7/2022,-0.009797535,0.169217518,0.037604686,0.02708414,0.05834336,135900,-0.661687827,188060,192260,13.86641202,14.03562954
9/8/2022,-0.015171501,0.094009936,-0.075207582,0.029429707,0.058343331,88900,-0.345842531,154040,189840,13.94162026,14.0356302
9/9/2022,4.69E-08,0.141014005,0.047004069,0.026920186,0.058343322,506800,4.700787402,235040,202700,14.06383255,14.20484656
9/12/2022,0.0120562,0.112811386,-0.028202619,0.028514472,0.058053599,122800,-0.757695343,251220,204940,14.15784285,14.27065423
9/13/2022,0.004632762,0.329033884,0.216222498,0.093774385,0.072337245,514200,3.187296417,273720,224890,13.73479912,14.063833
9/14/2022,-0.014492765,0.141014903,-0.188018981,0.094618763,0.071504565,442700,-0.139050953,335080,242820,13.81940758,13.96042249
9/15/2022,-0.00735294,0.197420135,0.056405232,0.086570673,0.072131185,358300,-0.190648295,388960,254145,13.74419919,13.94161932
9/16/2022,-0.001346891,0.094009937,-0.103410199,0.094618708,0.072131185,212900,-0.405805191,330180,250110,13.63138881,13.72539875
9/19/2022,-0.015509,0.09400904,-8.97E-07,0.098013862,0.073100058,150900,-0.291216534,335800,250100,13.45277101,13.54678005
9/20/2022,-0.013013735,0.075207593,-0.018801447,0.049478087,0.072016684,291100,0.929092114,291180,260835,13.46217167,13.53737926
9/21/2022,-0.00069395,0.141014006,0.065806413,0.049477993,0.072015068,206400,-0.290965304,243920,260015,13.39636463,13.53737864
9/22/2022,-4.64E-08,0.188019868,0.047005862,0.045863068,0.072195714,186800,-0.09496124,209620,265670,13.33995834,13.52797821
9/23/2022,-0.000694405,0.103410209,-0.084609658,0.044790764,0.07290897,125600,-0.327623126,192160,252465,13.16134045,13.26475066
9/26/2022,-0.019458011,0.263227464,0.159817255,0.074202497,0.062304989,393400,2.132165605,240660,249520,12.75709945,13.02032691
9/27/2022,-0.018426561,0.150415186,-0.112812278,0.060561881,0.061930577,207700,-0.472038638,223980,241920,12.71009579,12.86051098
9/28/2022,-0.012274341,0.150415178,-8.10E-09,0.059605752,0.061721802,225900,0.087626384,227880,248735,12.57848138,12.72889656
9/29/2022,-0.010233996,0.319632703,0.169217525,0.090171106,0.072002251,188300,-0.16644533,228180,245200,12.2682499,12.5878826
9/30/2022,-0.011078254,0.394840297,0.075207593,0.106857219,0.088325954,1644200,7.73181094,531900,322320,12.26825002,12.66309032
10/3/2022,0.005974612,0.263226581,-0.131613715,0.106857203,0.090114171,287900,-0.824899647,510800,334620,11.95801919,12.22124577
10/4/2022,-0.034892316,0.141014016,-0.122212565,0.109229422,0.089885465,418400,0.45328239,552940,335455,12.04262796,12.18364198
10/5/2022,-0.00307692,0.188019873,0.047005857,0.101338678,0.08988547,652900,0.560468451,638340,361305,12.08963138,12.27765125
10/6/2022,0.007716024,0.112811395,-0.075208478,0.113124463,0.089043213,214200,-0.671925257,643520,367570,11.86400958,11.97682098
10/7/2022,-0.024502265,0.25382538,0.141013985,0.066673847,0.090009572,717100,2.347805789,458100,378085,11.47856886,11.73239424
10/10/2022,-0.020408315,0.225623677,-0.028201703,0.058179788,0.088729204,342700,-0.522102915,469060,389080,11.58198016,11.80760384
10/11/2022,0.006410422,0.235023944,0.009400267,0.055854617,0.083377905,633600,0.848847388,512100,395050,11.17773909,11.41276303
10/12/2022,-0.033439538,0.150415184,-0.08460876,0.06070722,0.083133494,257200,-0.594065657,432960,385775,11.46916851,11.6195837
10/13/2022,0.018121875,0.479448163,0.329032979,0.124113705,0.105807205,635200,1.469673406,517160,399620,11.29995162,11.77939978
10/14/2022,0.013754028,0.366637661,-0.112810502,0.130771093,0.108792992,123000,-0.806360202,398340,395125,11.5161728,11.88281046
10/17/2022,0.008778943,0.084608765,-0.282028896,0.16036813,0.109361182,173100,0.407317073,364420,396235,11.55377728,11.63838604
10/18/2022,-0.02056958,0.131612828,0.047004063,0.171216092,0.106267825,407100,1.351819757,319120,402035,11.61018259,11.74179542
10/19/2022,0.008885199,0.169217522,0.037604694,0.16887727,0.105387641,308200,-0.242937853,329320,407125,11.44096539,11.61018291
10/20/2022,-0.011208891,0.159816346,-0.009401176,0.108131604,0.106004861,149600,-0.514600909,232200,405265,11.3751587,11.53497505
10/21/2022,-0.00647775,0.282028906,0.12221256,0.073001426,0.103409394,891100,4.956550802,385820,443540,10.88630877,11.16833767
10/24/2022,-0.031784843,0.150415174,-0.131613732,0.059457069,0.104349715,689800,-0.225900572,489160,458360,10.59487937,10.74529454
10/25/2022,-0.037878791,0.11281138,-0.037603795,0.063621742,0.106003743,471600,-0.316323572,502060,471555,10.61368072,10.7264921
10/26/2022,-0.00174983,0.272627718,0.159816338,0.076777765,0.105388726,695200,0.474130619,579460,495020,10.58547782,10.85810553
10/27/2022,0.012269942,0.103410216,-0.169217502,0.086825511,0.106222921,496900,-0.285241657,648920,510450,11.00852191,11.11193213
10/28/2022,0.023376693,0.122212548,0.018802333,0.069529003,0.09902641,232500,-0.532099014,517200,439865,10.95211453,11.07432708
10/31/2022,-0.003384204,0.075207584,-0.047004964,0.07769313,0.101622818,192500,-0.172043011,417740,435095,10.94271428,11.01792186
11/1/2022,-0.005093331,0.291430087,0.216222503,0.101164254,0.103293503,348000,0.807792208,393020,431575,10.84870529,11.14013538
11/2/2022,0.011092248,0.253825398,-0.037604689,0.09678887,0.103992498,324300,-0.068103448,318840,415145,10.78289899,11.03672439
11/3/2022,-0.009282741,0.122211658,-0.13161374,0.093915661,0.103590306,372200,0.147702744,293900,423045,10.6700871,10.79229876
11/4/2022,-0.022146574,0.225622776,0.103411118,0.091291188,0.103039918,731200,0.964535196,393640,423750,10.51027131,10.73589409
11/7/2022,-0.005226382,0.188018979,-0.037603798,0.064791977,0.102904392,532200,-0.272155361,461580,433225,10.35045487,10.53847385
11/8/2022,-0.018388803,0.159816353,-0.028202625,0.052088504,0.102886304,601200,0.129650507,512220,431605,10.43506345,10.59487981
11/9/2022,0.005352384,0.169217536,0.009401183,0.037954891,0.102542127,330300,-0.450598802,513420,435260,10.34105411,10.51027165
11/10/2022,-0.007985759,0.329033877,0.159816341,0.068890579,0.084607381,906800,1.745382985,620340,448840,10.24704349,10.57607737
11/11/2022,0.006261087,0.300831242,-0.028202635,0.079381251,0.078363895,1643200,0.812086458,802740,524850,10.32225065,10.62308189
11/14/2022,0.004444419,0.263226556,-0.037604686,0.076662589,0.076451514,1630000,-0.008033106,1022300,597695,10.26584554,10.5290721
11/15/2022,-0.008849578,0.272628636,0.00940208,0.060415405,0.076883811,1137000,-0.302453988,1129460,634190,10.08722726,10.35985589
11/16/2022,-0.016071331,0.188018978,-0.084609658,0.052930249,0.076586795,1303300,0.146262093,1324060,683945,10.4726674,10.66068637
11/17/2022,0.029038095,0.206821325,0.018802347,0.047192703,0.075938749,1383700,0.061689557,1419440,745650,10.62308264,10.82990396
11/18/2022,0.015873048,0.263226586,0.05640526,0.038532577,0.075039108,591500,-0.572522946,1209100,730670,10.66068703,10.92391361
11/21/2022,0.008680562,0.141014006,-0.12221258,0.054574471,0.075417835,538000,-0.090448014,990700,723080,10.46326596,10.60427996
11/22/2022,-0.029259994,0.094009932,-0.047004074,0.064449601,0.076708128,542700,0.008736059,871840,726635,10.41626069,10.51027063
11/23/2022,-0.008865226,0.094009032,-9.00E-07,0.07402324,0.078445498,450500,-0.169891284,701280,714400,10.39745886,10.49146789
11/25/2022,-0.001788987,0.216222485,0.122213453,0.075617907,0.075656445,528600,0.17336293,530260,715985,10.68888838,10.90511087
11/28/2022,0.039426607,0.216221594,-8.91E-07,0.061430849,0.073536369,1242400,1.35035944,660440,766480,11.06492749,11.28114908
11/29/2022,0.034482751,0.122212552,-0.094009041,0.062853015,0.069879481,1546400,0.244687701,862120,834175,11.3657575,11.48797005
11/30/2022,0.018333325,0.376037969,0.253825417,0.11031613,0.077478867,1618300,0.046495085,1077240,897690,11.63838635,12.01442432
12/1/2022,0.045826571,0.225622773,-0.150415196,0.091290833,0.076895842,1223600,-0.243897918,1231860,942655,11.5725795,11.79820228
12/2/2022,-0.017996871,0.169217519,-0.056405254,0.095547947,0.074803068,1142200,-0.066525008,1354580,981155,11.96741829,12.13663581
12/5/2022,0.028685178,0.150415184,-0.018802335,0.100901488,0.075914119,1811200,0.585711784,1468340,1035155,12.19304273,12.34345791
12/6/2022,0.017041139,0.253825389,0.103410205,0.089185144,0.076459005,1242600,-0.313935512,1407580,1070675,11.72299439,11.97681978
12/7/2022,-0.029703033,0.178617795,-0.075207594,0.042771611,0.075915644,764700,-0.384596813,1236860,1078850,11.76999904,11.94861683
12/8/2022,-0.002354794,0.131613733,-0.047004062,0.046721641,0.07746831,640700,-0.162155094,1120280,1094370,11.93921632,12.07083005
12/9/2022,0.010228231,0.1410149,0.009401167,0.04947764,0.073525113,763100,0.191041049,1044460,1087185,12.05202719,12.19304209
12/12/2022,0.010124577,0.094009044,-0.047005856,0.060561286,0.073176326,861700,0.129209802,854560,1048110,11.76059896,11.854608
12/13/2022,-0.02775633,0.178617811,0.084608767,0.035550001,0.071131151,535400,-0.378670071,713120,993380,11.9486179,12.12723571
12/14/2022,0.022997615,0.338434135,0.159816324,0.095270133,0.076671507,756600,0.413149047,711500,974360,11.80760259,12.14603673
12/15/2022,0.001550313,0.178617791,-0.159816344,0.091966105,0.076706385,1598500,1.112741211,903060,989120,11.80760256,11.98622035
12/16/2022,-0.013157903,0.11281228,-0.065805511,0.096193281,0.078385868,468000,-0.707225524,844040,943335,11.73239466,11.84520694
12/19/2022,-0.011764627,0.246612398,0.133800118,0.085506932,0.077583631,496000,0.05982906,770900,938560,11.47699396,11.72360636
12/20/2022,-0.010265805,0.132791069,-0.113821329,0.092053633,0.077838976,547000,0.102822581,773220,939010,11.31574576,11.44853683
12/21/2022,-0.023462877,0.237127947,0.104336878,0.060068545,0.075823692,927800,0.696160878,807460,958265,11.2493495,11.48647745
12/22/2022,0.003314015,0.199187531,-0.037940416,0.060516613,0.072407828,720300,-0.223647338,631820,971755,11.24935058,11.44853811
12/23/2022,-0.003302956,0.180216859,-0.018970672,0.045980892,0.072298918,641700,-0.1091212,666560,977410,11.34420211,11.52441897
12/27/2022,0.006627995,0.142276412,-0.037940447,0.042630536,0.072945416,755600,0.177497273,718480,953070,11.23986552,11.38214194
12/28/2022,-0.012345701,0.265649912,0.1233735,0.048199573,0.073036562,942600,0.247485442,797600,922880,11.15730716,11.42295707
12/29/2022,0.003585892,0.113849958,-0.151799954,0.058100633,0.061807741,444400,-0.528538086,700920,864185,11.17628128,11.29013123
12/30/2022,-0.011627973,0.113849968,1.01E-08,0.063431463,0.062845597,571300,0.285553555,671120,831570,11.17628227,11.29013223
1/3/2023,8.85E-08,0.18975084,0.075900872,0.06421058,0.062863357,1271800,1.226150884,797140,838050,11.48936922,11.67912006
1/4/2023,0.034453789,0.180262214,-0.009488626,0.063075856,0.062503182,1443000,0.13461236,934620,819640,11.63168246,11.81194467
1/5/2023,0.011372827,0.104362245,-0.075899969,0.041027519,0.062203743,808400,-0.43977824,907780,797930,11.66014533,11.76450758
1/6/2023,-0.004016027,0.208725376,0.104363131,0.0471523,0.062709525,920600,0.138792677,1003020,805725,11.60321887,11.81194424
